Istasyon,Tarih,PM10,SO2,CO,NO2,NOX,NO,O3
Meydan,3/9/2019,63.024808,35.99924,70.038169047619,120.34942585714,50.311250619048
Meydan,3/10/2019,52.93223625,53.545884583333,73.918777083333,110.719483875,36.800705333333
Meydan,3/11/2019,59.77023375,61.65727,69.016384583333,128.369392625,59.353006291667
Meydan,3/12/2019,86.012545,66.272572083333,86.4969125,168.45173845833,81.954834166667
Meydan,3/13/2019,56.87876625,44.064580833333,64.549202916667,108.37733658333,43.828134208333
Meydan,3/14/2019,15.692159875,21.861402083333,47.946854166667,60.156087458333,12.2092325
Meydan,3/15/2019,18.916715583333,20.937917304348,52.190297916667,69.526609875,17.336312583333
Meydan,3/16/2019,31.031438708333,37.231535,61.15663125,82.739638833333,21.583006708333
Meydan,3/17/2019,34.613783666667,42.3811425,63.453884583333,87.61959975,24.16571675
Meydan,3/18/2019,30.809148708333,34.33042625,54.6241925,73.567362958333,18.943173
Meydan,3/19/2019,45.461737666667,44.157992083333,63.829504583333,102.48121495833,38.651709625
Meydan,3/20/2019,69.590114583333,59.140647916667,75.204045416667,124.365229375,49.161183333333
Meydan,3/21/2019,41.270060833333,34.370413333333,64.74142,82.029786291667,17.288366208333
Meydan,3/22/2019,44.076192083333,45.828060416667,73.732407083333,97.574932833333,23.842526583333
Meydan,3/23/2019,43.877000833333,41.4583925,64.53077875,90.433451208333,25.902672916667
Meydan,3/24/2019,26.558373916667,38.0720825,55.25020125,65.740428791667,10.49022875
Meydan,3/25/2019,24.39659125,31.79167625,59.484806666667,75.333501083333,15.848693291667
Meydan,3/26/2019,35.278560833333,36.940032916667,57.402121666667,70.817982958333,13.41586075
Meydan,3/27/2019,37.655700869565,47.502818636364,60.173225454545,82.678924409091,22.505699045455
Meydan,3/28/2019,80.15367,17.013415272727,64.216417272727,83.09859,18.882173909091
Meydan,3/29/2019,54.0133425,,66.057525,89.649673833333,23.592147541667
Meydan,3/30/2019,15.714084833333,,52.957045,64.312343708333,11.355298125
Meydan,3/31/2019,24.233069583333,,52.07671375,64.089455916667,12.012742875
Meydan,4/1/2019,33.595775833333,,64.939343333333,84.178295583333,19.238952666667
Meydan,4/2/2019,42.788122083333,,73.619921666667,100.75576629167,27.135844875
Meydan,4/3/2019,36.514909166667,,56.03346625,76.395188708333,20.361723458333
Meydan,4/4/2019,21.677610833333,,59.207142083333,75.446137083333,16.238996416667
Meydan,4/5/2019,11.541737166667,,50.043127916667,72.077252833333,22.034124958333
Meydan,4/6/2019,29.322949291667,,46.826434583333,61.803775916667,14.977341583333
Meydan,4/7/2019,70.035092727273,,59.070648333333,99.744756958333,40.674107166667
Meydan,4/8/2019,55.413323333333,,65.254393333333,95.941675333333,30.687281666667
Meydan,4/9/2019,58.554617727273,,67.450108571429,111.94752304762,44.497413333333
Meydan,4/10/2019,56.762129583333,,61.108437916667,94.728268416667,33.619828333333
Meydan,4/11/2019,58.726946666667,,62.626264166667,98.631408041667,36.005146291667
Meydan,4/12/2019,32.810953333333,,57.37152375,86.468507416667,29.096981416667
Meydan,4/13/2019,26.247909958333,,54.4214025,80.877231333333,26.455832333333
Meydan,4/14/2019,30.78733375,,54.141597083333,77.484838416667,23.343241791667
Meydan,4/15/2019,25.945795583333,,41.541615833333,54.359795333333,12.818178708333
Meydan,4/16/2019,17.8148245,,44.826090434783,67.474425130435,22.648334130435
Meydan,4/17/2019,19.536963208333,,43.365870833333,56.510018541667,13.144146916667
Meydan,4/18/2019,19.572042375,,49.632478333333,62.565210333333,12.932731416667
Meydan,4/19/2019,21.24850675,,54.12366625,74.105481125,19.981814583333
Meydan,4/20/2019,27.252865375,,47.6020875,62.802412041667,15.200323958333
Meydan,4/21/2019,21.905578625,,52.052363333333,70.573337625,18.520974333333
Meydan,4/22/2019,29.353348333333,,61.063744583333,81.8762405,20.812496041667
Meydan,4/23/2019,24.713631166667,,51.555215,76.359831375,24.804617416667
Meydan,4/24/2019,43.904065375,,44.298616666667,70.3287595,26.030141416667
Meydan,4/25/2019,69.338677727273,,47.553267083333,84.822572416667,37.269303958333
Meydan,4/26/2019,33.971876041667,,49.491649583333,85.701020208333,36.209370666667
Meydan,4/27/2019,40.159859166667,,49.10493875,74.61292775,25.507990708333
Meydan,4/28/2019,37.704379583333,,48.59057,85.688184708333,37.097614625
Meydan,4/29/2019,65.735697916667,,65.3946075,115.41669183333,50.022085
Meydan,4/30/2019,68.165627083333,,52.498832916667,95.109176958333,42.610343458333
Meydan,5/1/2019,34.340750416667,,49.239519166667,74.425206208333,25.185688041667
Meydan,5/2/2019,48.53589375,,51.533870416667,75.403712333333,23.869843375
Meydan,5/3/2019,17.627024625,,47.175980416667,61.522255541667,14.34627525
Meydan,5/4/2019,18.047432125,,46.541824583333,69.712486541667,23.170663166667
Meydan,5/5/2019,15.235797291667,,35.588395833333,56.214129958333,20.625734958333
Meydan,5/6/2019,37.016076666667,,59.0245515,106.527067375,47.502519291667
Meydan,5/7/2019,38.07586425,,44.309590833333,72.579536333333,28.269943708333
Meydan,5/8/2019,,,,,
Meydan,5/9/2019,,,,,
Meydan,5/10/2019,,,,,
Meydan,5/11/2019,,,,,
Meydan,5/12/2019,,,,,
Meydan,5/13/2019,,,,,
Meydan,5/14/2019,,,,,
Meydan,5/15/2019,,,35.183862173913,60.357896695652,25.174034
Meydan,5/16/2019,,,48.22653625,86.860418916667,38.63388325
Meydan,5/17/2019,,,38.792130833333,60.614285333333,21.822153916667
Meydan,5/18/2019,,,38.871573333333,61.067127,22.195553666667
Meydan,5/19/2019,,,23.876904166667,35.468881541667,11.591976291667
Meydan,5/20/2019,,,26.881663333333,42.02520675,15.143542625
Meydan,5/21/2019,,,25.914691666667,39.488357708333,13.573666125
Meydan,5/22/2019,,,,,
Meydan,5/23/2019,,,,,
Meydan,5/24/2019,,,,,
Meydan,5/25/2019,,,,,
Meydan,5/26/2019,,,,,
Meydan,5/27/2019,,,,,
Meydan,5/28/2019,,,,,
Meydan,5/29/2019,,,42.436209130435,68.106602347826,25.670392913043
Meydan,5/30/2019,,,56.326409583333,94.401492833333,38.075081
Meydan,5/31/2019,,,51.050076521739,89.641494043478,38.591417086957
Meydan,6/1/2019,14.112090541667,,35.590600416667,50.495537208333,14.904936083333
Meydan,6/2/2019,11.173470125,,30.77903125,40.546786166667,9.7677551666667
Meydan,6/3/2019,14.18296725,,28.0058375,39.527176041667,11.521338791667
Meydan,6/4/2019,9.328276375,,25.520476958333,35.525925625,10.005447625
Meydan,6/5/2019,9.2616707916667,,,,
Meydan,6/6/2019,9.262646125,,,,
