Istasyon,Tarih,PM10,CO,NO2,NOX,NO
Besirli,5/27/2019,,,,,
Besirli,5/28/2019,27.965333333333,329.77346666667,34.519790952381,47.940399557143,13.420608904762
Besirli,5/29/2019,31.7049325,314.57162916667,41.87889,55.46535855,13.5864699
Besirli,5/30/2019,36.647341666667,294.49633333333,38.924216818182,49.944573313636,11.020357454545
Besirli,5/31/2019,25.128155166667,211.59146666667,30.543775772727,37.738679736364,7.1949039045455
Besirli,6/1/2019,27.19822375,222.9665,24.413554333333,29.8439882,5.4304345791667
Besirli,6/2/2019,28.842652083333,254.22340416667,24.464927833333,29.449812516667,4.9848845583333
Besirli,6/3/2019,28.809202916667,225.725375,21.1675525,26.945470145833,5.7779168916667
Besirli,6/4/2019,28.406250416667,217.18252916667,19.682025625,26.1606374125,6.478611775
Besirli,6/5/2019,34.213932916667,356.96507083333,24.813740583333,32.951688208333,8.1379484166667
Besirli,6/6/2019,,,,,
Besirli,6/7/2019,,,,,
Besirli,6/8/2019,,,,,
Besirli,6/9/2019,,574.72736111111,,,
Besirli,6/10/2019,28.8599425,478.73435416667,25.732441708333,37.8370369875,12.104594375
Besirli,6/11/2019,32.626878181818,451.03989166667,22.786044708333,35.234902354167,12.448857791667
Besirli,6/12/2019,35.182697391304,330.95325652174,23.085551090909,36.886174113636,13.800624054545
Besirli,6/13/2019,32.408436521739,302.0881375,34.646429166667,50.435114616667,15.788684583333
Besirli,6/14/2019,38.995336818182,282.50033333333,35.660356666667,49.373415895833,13.713059791667
Besirli,6/15/2019,41.178300833333,258.68530833333,33.08046125,45.5899151375,12.509454208333
Besirli,6/16/2019,28.134835217391,256.4149625,27.516441666667,38.2744012625,10.757959125
Besirli,6/17/2019,30.518324166667,246.00415,30.570417083333,43.426744783333,12.856328041667
Besirli,6/18/2019,31.368556666667,229.13326666667,34.499958458333,49.612002075,15.112044291667
Besirli,6/19/2019,25.92902,330.23615,28.783637083333,38.648078716667,9.864441375
Besirli,6/20/2019,39.63840625,368.819125,35.31922125,45.918042466667,10.598821
Besirli,6/21/2019,,,,,
Besirli,6/22/2019,,506.49116666667,28.001531916667,37.383669091667,9.382137125
Besirli,6/23/2019,32.419598333333,509.88759583333,30.510527208333,37.790472354167,7.2799445416667
Besirli,6/24/2019,33.499672083333,495.79806666667,35.828420416667,48.715152883333,12.886732333333
Besirli,6/25/2019,34.890880416667,497.17157083333,36.979262083333,52.642165795833,15.662903416667
Besirli,6/26/2019,34.041333333333,395.67287083333,38.272504708333,56.339480533333,18.066976666667
Besirli,6/27/2019,37.613842173913,388.409275,37.798491666667,53.096132991667,15.297641875
Besirli,6/28/2019,43.972986666667,344.04085833333,37.025240833333,49.172531145833,12.14729
Besirli,6/29/2019,33.57512625,304.87737916667,36.213360416667,46.971030579167,10.757670166667
Besirli,6/30/2019,21.554577086957,275.5634125,31.6978725,44.909210754167,13.211339375
Besirli,7/1/2019,18.486663333333,274.2413375,29.107114458333,42.013250791667,12.906137166667
Besirli,7/2/2019,23.54065,302.05014583333,39.938445666667,59.332963295833,19.394518166667
Besirli,7/3/2019,26.589430416667,279.07143333333,32.285341916667,44.187641445833,11.902299375
Besirli,7/4/2019,24.6346325,294.71696666667,28.233642666667,42.174726145833,13.941082791667
Besirli,7/5/2019,27.575929583333,290.72745,27.625108375,41.07868485,13.453576875
Besirli,7/6/2019,33.361582083333,331.27394166667,35.212032916667,47.940936616667,12.728903916667
Besirli,7/7/2019,29.518206666667,303.49405,30.418339583333,38.981267916667,8.5629286666667
Besirli,7/8/2019,34.288560833333,299.37179166667,31.763645,43.650645366667,11.88700025
